[2024-10-18T17:32:52.094+0000] {processor.py:186} INFO - Started process (PID=13483) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-18T17:32:52.096+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-18T17:32:52.112+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:52.111+0000] {dagbag.py:587} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-18T17:32:53.848+0000] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1', 'dataset_produces_2', 'dataset_consumes_unknown_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_1', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-18T17:32:54.254+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.242+0000] {dag.py:3229} INFO - Sync 10 DAGs
[2024-10-18T17:32:54.509+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.509+0000] {dag.py:4156} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-23 01:00:00+00:00, run_after=2024-10-23 01:00:00+00:00
[2024-10-18T17:32:54.548+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.537+0000] {dag.py:4156} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-18T17:32:54.552+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.551+0000] {dag.py:4156} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-18T17:32:54.565+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.564+0000] {dag.py:4156} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-18T17:32:54.578+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.577+0000] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-18T17:32:54.581+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.580+0000] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-18T17:32:54.593+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.593+0000] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-18T17:32:54.596+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.595+0000] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-18T17:32:54.623+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.623+0000] {dag.py:4156} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-17 00:00:00+00:00, run_after=2024-10-18 00:00:00+00:00
[2024-10-18T17:32:54.637+0000] {logging_mixin.py:190} INFO - [2024-10-18T17:32:54.636+0000] {dag.py:4156} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-18T17:32:54.937+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 2.908 seconds
